[28-Feb-2016 17:07:17 UTC] PHP Parse error:  syntax error, unexpected '::' (T_PAAMAYIM_NEKUDOTAYIM) in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbDataSource.php on line 128
[28-Feb-2016 17:23:20 UTC] PHP Parse error:  syntax error, unexpected '::' (T_PAAMAYIM_NEKUDOTAYIM) in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbDataSource.php on line 128
[28-Feb-2016 17:27:12 UTC] PHP Parse error:  syntax error, unexpected '::' (T_PAAMAYIM_NEKUDOTAYIM) in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 100
[28-Feb-2016 17:37:30 UTC] PHP Parse error:  syntax error, unexpected '::' (T_PAAMAYIM_NEKUDOTAYIM) in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 100
[29-Feb-2016 10:19:57 UTC] PHP Warning:  The magic method __callStatic() must have public visibility and be static in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbObject.php on line 31
[29-Feb-2016 10:19:57 UTC] PHP Parse error:  syntax error, unexpected '::' (T_PAAMAYIM_NEKUDOTAYIM) in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 100
[29-Feb-2016 10:29:13 UTC] PHP Fatal error:  Cannot redeclare Session::startSession() in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 130
[29-Feb-2016 10:29:13 UTC] PHP Fatal error:  Cannot redeclare Session::startSession() in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 130
[29-Feb-2016 11:27:04 UTC] PHP Fatal error:  Cannot redeclare Session::startSession() in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 147
[29-Feb-2016 11:27:21 UTC] PHP Fatal error:  Cannot redeclare Session::startSession() in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 147
[29-Feb-2016 11:38:21 UTC] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 165
[01-Mar-2016 13:57:25 UTC] PHP Warning:  The magic method __callStatic() must have public visibility and be static in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbObject.php on line 31
[01-Mar-2016 13:57:25 UTC] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 165
